label,A_name,A_class,A_reason,B_name,B_class,B_reason,agreement
measure on S-nesting depth,direct_measure,direct_measure,S-nesting-depth measure -> direct_measure,direct_measure,direct_measure,S-nesting depth measure,agree
measure on leading S constructors in third argument,direct_measure,direct_measure,leading-constructor count measure,direct_measure,direct_measure,leading-S count measure,agree
measure on leading S-constructors in third argument,direct_measure,direct_measure,leading-constructor count measure,direct_measure,direct_measure,leading-S count measure,agree
measure on size/depth of third argument,direct_measure,direct_measure,size/depth measure on third argument,direct_measure,direct_measure,size/depth measure,agree
measure on third argument of F,direct_measure,direct_measure,size measure on a specific argument is a counting measure,direct_measure,direct_measure,size measure on F's third argument,agree
measure on third argument with Peano/ℕ well-founded induction,direct_measure,direct_measure,primary is the argument measure; induction is scaffolding,direct_measure,direct_measure,primary is numeric measure; WF induction is scaffolding,agree
measure on third-argument S-length; recursive path ordering,direct_measure,direct_measure,leads with S-length counting measure; RPO secondary,direct_measure,direct_measure,leads with S-length counting measure; RPO secondary,agree
measure on total S symbols in F third arguments,direct_measure,direct_measure,S-symbol count measure,direct_measure,direct_measure,S-symbol count measure,agree
measure summing S-symbols over F occurrences,direct_measure,direct_measure,summed symbol-count measure,direct_measure,direct_measure,summed S-count measure,agree
measure summing third-argument sizes over F occurrences,direct_measure,direct_measure,summed size measure,direct_measure,direct_measure,summed size measure,agree
measure-based argument on S-depth of third argument,direct_measure,direct_measure,S-depth measure,direct_measure,direct_measure,S-depth measure,agree
measure-based counting argument (symbol counts),direct_measure,direct_measure,symbol-count measure,direct_measure,direct_measure,symbol-count measure,agree
measure-based lexicographic ordering of symbol-counts,lexicographic_measure,direct_measure,lexicographic tuple of counts,lexicographic_measure,direct_measure,lexicographic tuple of counts,agree
measure-decrease argument,direct_measure,direct_measure,generic decreasing measure,direct_measure,direct_measure,generic decreasing measure,agree
measure-decrease/structural descent,direct_measure,direct_measure,leads with measure decrease; matches measure/structural-descent convention,direct_measure,direct_measure,leads with measure decrease,agree
measure/decrease argument,direct_measure,direct_measure,generic decreasing measure,direct_measure,direct_measure,generic decreasing measure,agree
measure/interpretation (counting nested S) plus induction,direct_measure,direct_measure,leads with counting measure (nested S); interpretation secondary,direct_measure,direct_measure,nested-S count is a counting measure,agree
measure/ordering argument (S-depth),direct_measure,direct_measure,S-depth measure,direct_measure,direct_measure,S-depth measure,agree
measure/ordering argument; multiset extension,multiset_measure,direct_measure,"measure via multiset extension, per multiset-extension convention",multiset_measure,direct_measure,mechanism is multiset extension of measure,agree
measure/ranking argument (counting S-symbols),direct_measure,direct_measure,S-symbol count measure,direct_measure,direct_measure,S-count measure,agree
measure/structural descent,direct_measure,direct_measure,leads with measure; matches dictionary measure/structural-descent rows,direct_measure,direct_measure,leads with measure; cf syntactic measure/structural decrease,agree
measure/structural descent on third argument,direct_measure,direct_measure,leads with measure on specific argument,direct_measure,direct_measure,leads with measure on third argument,agree
measure/weight argument (lexicographic pair),lexicographic_measure,direct_measure,pair ordered lexicographically,lexicographic_measure,direct_measure,lexicographic pair measure,agree
measure/weight argument counting S-occurrences,direct_measure,direct_measure,S-occurrence count weight measure,direct_measure,direct_measure,S-occurrence weight count,agree
"meta-level ""decreasing argument"" / primitive-recursion intuition",structural_descent,structural_descent,informal recursion-terminates intuition without a size mechanism,structural_descent,structural_descent,"informal recursion-terminates intuition, no size measure",agree
monotone measure/interpretation μ on symbols,polynomial_interpretation,polynomial,monotone symbol-wise interpretation is a monotone-algebra interpretation,polynomial_interpretation,polynomial,"monotone symbol-wise interpretation, monotone algebra",agree
monotone polynomial interpretation,polynomial_interpretation,polynomial,explicit polynomial interpretation,polynomial_interpretation,polynomial,explicit polynomial interpretation,agree
monotone polynomial/interpretation argument,polynomial_interpretation,polynomial,polynomial interpretation argument,polynomial_interpretation,polynomial,polynomial interpretation argument,agree
monotonic interpretation into naturals,polynomial_interpretation,polynomial,"interpretation into N, not explicitly ordinal",polynomial_interpretation,polynomial,"interpretation into N, natural_number_interpretation renamed",agree
multiset depth measure; recursive path order; polynomial interpretation,multiset_measure,direct_measure,leads with multiset depth measure,multiset_measure,direct_measure,leads with multiset depth measure,agree
multiset measure of third-argument depths,multiset_measure,direct_measure,multiset of depths,multiset_measure,direct_measure,multiset of depths,agree
multiset measure of third-argument sizes,multiset_measure,direct_measure,multiset of sizes,multiset_measure,direct_measure,multiset of sizes,agree
multiset measure on eqW-potential,multiset_measure,direct_measure,multiset measure on a potential function,multiset_measure,direct_measure,multiset measure over potentials,agree
multiset measure on third argument,multiset_measure,direct_measure,multiset measure,multiset_measure,direct_measure,multiset measure,agree
multiset measure on third-argument S-depths,multiset_measure,direct_measure,multiset of S-depths,multiset_measure,direct_measure,multiset of S-depths,agree
multiset measure on third-argument sizes,multiset_measure,direct_measure,multiset of sizes,multiset_measure,direct_measure,multiset of sizes,agree
multiset of S-depths; Recursive Path Ordering,multiset_measure,direct_measure,leads with multiset of S-depths; RPO secondary,multiset_measure,direct_measure,leads with multiset of S-depths; RPO secondary,agree
multiset order; lexicographic path order,multiset_measure,direct_measure,leads with multiset ordering as the measure; LPO secondary,multiset_measure,direct_measure,leads with multiset ordering; LPO secondary,agree
multiset ordering,multiset_measure,direct_measure,plain multiset ordering as measure,multiset_measure,direct_measure,plain multiset ordering as measure,agree
multiset ordering / measure,multiset_measure,direct_measure,multiset ordering measure,multiset_measure,direct_measure,multiset ordering measure,agree
multiset/depth measure on third arguments,multiset_measure,direct_measure,multiset of depths,multiset_measure,direct_measure,multiset of depths,agree
multiset/lexicographic measure,multiset_measure,direct_measure,leads with multiset,multiset_measure,direct_measure,leads with multiset,agree
multiset/lexicographic measure (S-count),multiset_measure,direct_measure,leads with multiset over S-counts,multiset_measure,direct_measure,leads with multiset over S-counts,agree
multiset/lexicographic measure on third argument,multiset_measure,direct_measure,leads with multiset,multiset_measure,direct_measure,leads with multiset,agree
multiset/polynomial interpretation,multiset_measure,direct_measure,leads with multiset measure; polynomial secondary,multiset_measure,direct_measure,leads with multiset measure; interpretation secondary,agree
multiset/sum measure on third-argument sizes; RPO/LPO,multiset_measure,direct_measure,leads with multiset/sum measure; path orders secondary,multiset_measure,direct_measure,leads with multiset/sum measure; path orders secondary,agree
natural measure on nested S constructors,direct_measure,direct_measure,S-nesting depth count,direct_measure,direct_measure,nested-S depth/count measure,agree
natural-number measure / interpretation,direct_measure,direct_measure,"leads with natural-number measure, matching dictionary row",direct_measure,direct_measure,leads with natural-number measure,agree
natural-number measure on S occurrences,direct_measure,direct_measure,S-occurrence count,direct_measure,direct_measure,S-occurrence count measure,agree
natural-number measure on leading S-symbols,direct_measure,direct_measure,leading-S count measure,direct_measure,direct_measure,leading S-count measure,agree
natural-number measure on nested grapes (with polynomial interpretation),direct_measure,direct_measure,leads with nesting-count measure; parenthetical interpretation secondary,direct_measure,direct_measure,primary is nesting-count measure; interpretation parenthetical,agree
numeric (natural-number) measure / well-founded ordering,direct_measure,direct_measure,numeric measure leads; counting measure into N,direct_measure,direct_measure,natural-number measure leads; counting measure into N,agree
numeric measure (#F + #S),direct_measure,direct_measure,symbol-count measure,direct_measure,direct_measure,symbol-count measure,agree
numeric weight interpretation,polynomial_interpretation,polynomial,"weight interpretation into N, matches natural-number weight interpretation convention",polynomial_interpretation,polynomial,"weight interpretation into N, matches natural-number weight interpretation precedent",agree
numeric weight/interpretation,polynomial_interpretation,polynomial,"weight interpretation variant, interpretation named",polynomial_interpretation,polynomial,numeric weight interpretation into N,agree
ordering-based termination proof (polynomial interpretation / LPO),polynomial_interpretation,polynomial,parenthetical leads with polynomial interpretation,polynomial_interpretation,polynomial,first concrete method named is polynomial interpretation,agree
polynomial / interpretation argument,polynomial_interpretation,polynomial,interpretation argument renamed to polynomial_interpretation,polynomial_interpretation,polynomial,"interpretation argument, polynomial primary",agree
polynomial / measure interpretation,polynomial_interpretation,polynomial,polynomial-led interpretation,polynomial_interpretation,polynomial,polynomial leads the interpretation label,agree
polynomial interpretation (+ LPO),polynomial_interpretation,polynomial,primary method is polynomial; LPO secondary,polynomial_interpretation,polynomial,"polynomial primary, LPO secondary",agree
polynomial interpretation (linear weight assignment),polynomial_interpretation,polynomial,polynomial with weight assignment detail,polynomial_interpretation,polynomial,linear weight assignment is a polynomial interpretation,agree
polynomial interpretation (size measure),polynomial_interpretation,polynomial,polynomial interpretation named as primary,polynomial_interpretation,polynomial,"polynomial interpretation primary, size is its shape",agree
polynomial interpretation (weight function),polynomial_interpretation,polynomial,matches dict Polynomial interpretation / weight function,polynomial_interpretation,polynomial,matches polynomial interpretation / weight function precedent,agree
polynomial interpretation / lexicographic path order,polynomial_interpretation,polynomial,compound leads with polynomial,polynomial_interpretation,polynomial,polynomial named first in compound,agree
polynomial interpretation / lexicographic path ordering,polynomial_interpretation,polynomial,compound leads with polynomial,polynomial_interpretation,polynomial,polynomial named first in compound,agree
polynomial interpretation / natural-number measure,polynomial_interpretation,polynomial,"polynomial-led, matches natural-number / polynomial interpretation row",polynomial_interpretation,polynomial,polynomial primary over measure gloss,agree
polynomial interpretation / structural induction,polynomial_interpretation,polynomial,compound leads with polynomial,polynomial_interpretation,polynomial,polynomial named first in compound,agree
polynomial interpretation / well-founded measure,polynomial_interpretation,polynomial,matches dict polynomial interpretation / well-founded measure argument,polynomial_interpretation,polynomial,matches dictionary precedent exactly,agree
polynomial interpretation / well-founded measure descent,polynomial_interpretation,polynomial,polynomial-led compound,polynomial_interpretation,polynomial,"polynomial primary, measure descent is its use",agree
polynomial interpretation / well-founded reduction ordering,polynomial_interpretation,polynomial,matches dict polynomial interpretation / well-founded ordering,polynomial_interpretation,polynomial,matches polynomial / well-founded ordering precedent,agree
polynomial interpretation and RPO,polynomial_interpretation,polynomial,matches dict polynomial interpretations and recursive path orderings,polynomial_interpretation,polynomial,"polynomial named first, matches precedent line for poly and RPO",agree
polynomial interpretation into ℕ,polynomial_interpretation,polynomial,matches dict polynomial interpretation into N variants,polynomial_interpretation,polynomial,interpretation into naturals,agree
polynomial interpretation or lexicographic path order (F>G),polynomial_interpretation,polynomial,compound leads with polynomial,polynomial_interpretation,polynomial,polynomial named first in compound,agree
polynomial interpretation; LPO/RPO,polynomial_interpretation,polynomial,compound leads with polynomial,polynomial_interpretation,polynomial,polynomial named first in compound,agree
polynomial interpretation; dependency pair/subterm criterion,polynomial_interpretation,polynomial,compound leads with polynomial,polynomial_interpretation,polynomial,polynomial named first in compound,agree
polynomial interpretation; recursive path order,polynomial_interpretation,polynomial,compound leads with polynomial,polynomial_interpretation,polynomial,polynomial named first in compound,agree
polynomial interpretation; recursive path ordering,polynomial_interpretation,polynomial,compound leads with polynomial,polynomial_interpretation,polynomial,polynomial named first in compound,agree
polynomial interpretation; recursive path ordering (RPO),polynomial_interpretation,polynomial,compound leads with polynomial,polynomial_interpretation,polynomial,polynomial named first in compound,agree
polynomial interpretation; subterm criterion,polynomial_interpretation,polynomial,compound leads with polynomial,polynomial_interpretation,polynomial,polynomial named first in compound,agree
polynomial/measure interpretation,polynomial_interpretation,polynomial,polynomial-led interpretation,polynomial_interpretation,polynomial,polynomial interpretation with measure gloss,agree
polynomial/monotone interpretation,polynomial_interpretation,polynomial,matches dict polynomial interpretation / monotone algebra,polynomial_interpretation,polynomial,matches polynomial / monotone algebra precedent,agree
polynomial/numeric interpretation,polynomial_interpretation,polynomial,"interpretation into N, polynomial-led",polynomial_interpretation,polynomial,polynomial interpretation into numbers,agree
polynomial/ordinal interpretation,polynomial_interpretation,polynomial,leads with polynomial; ordinal not the primary commitment,polynomial_interpretation,polynomial,polynomial leads; ordinal only when explicitly ordinal-valued alone,agree
polynomial/size interpretation; well-founded ordering,polynomial_interpretation,polynomial,polynomial-led interpretation compound,polynomial_interpretation,polynomial,polynomial interpretation primary,agree
primitive recursive pattern on third argument of F,structural_descent,structural_descent,primitive recursion renamed to structural_descent,structural_descent,structural_descent,primitive recursion renames to structural_descent,agree
rank function,direct_measure,direct_measure,numeric rank measure,direct_measure,direct_measure,numeric rank measure into N,agree
rank function on third-argument constructor depth,direct_measure,direct_measure,depth-based rank measure,direct_measure,direct_measure,depth-based numeric measure,agree
ranking function on third argument to F,direct_measure,direct_measure,numeric measure on third argument,direct_measure,direct_measure,numeric measure on third argument,agree
recursive measure / polynomial interpretation,direct_measure,direct_measure,"leads with a measure, polynomial secondary",direct_measure,direct_measure,"measure named first, matches descent-first compound precedent",agree
recursive path order (RPO),rpo,path_order,RPO named,rpo,path_order,explicit RPO,agree
"recursive path order (RPO) with precedence F>G, lexicographic status",rpo,path_order,RPO with precedence detail,rpo,path_order,RPO with precedence detail,agree
recursive path order with precedence F≻G≻S≻Z,rpo,path_order,RPO with explicit precedence,rpo,path_order,RPO with precedence detail,agree
recursive path ordering (RPO) / S-count measure,rpo,path_order,compound leads with RPO,rpo,path_order,RPO named first in compound,agree
recursive path ordering (RPO) with chosen precedence,rpo,path_order,RPO with precedence,rpo,path_order,RPO with precedence detail,agree
recursive path ordering (RPO) with precedence F>G,rpo,path_order,matches dict RPO with precedence F > G,rpo,path_order,RPO with precedence detail,agree
recursive path ordering (RPO); induction on S-count,rpo,path_order,compound leads with RPO,rpo,path_order,RPO named first in compound,agree
recursive path ordering (RPO); polynomial interpretation,rpo,path_order,compound leads with RPO,rpo,path_order,RPO named first in compound,agree
"recursive path ordering (RPO, precedence F>G)",rpo,path_order,RPO with precedence,rpo,path_order,RPO with precedence detail,agree
"recursive path ordering (RPO, precedence F>G>S>Z)",rpo,path_order,RPO with full precedence chain,rpo,path_order,RPO with precedence detail,agree
recursive path ordering with precedence F≻G≻S≻Z,rpo,path_order,RPO with explicit precedence,rpo,path_order,RPO with explicit precedence,agree
recursive path ordering; induction on S-symbol count,rpo,path_order,primary committed method is RPO,rpo,path_order,leads with RPO as primary method,agree
recursive structure argument (decreasing argument),structural_descent,structural_descent,recursive-structure decrease without formal order,structural_descent,structural_descent,recursive-structure decrease without formal order,agree
recursive/lexicographic path order,rpo,path_order,matches dictionary recursive/lexicographic path ordering -> rpo,rpo,path_order,matches dictionary recursive/lexicographic path ordering -> rpo,agree
recursive/lexicographic path ordering (RPO/LPO),rpo,path_order,exact dictionary pattern RPO/LPO -> rpo,rpo,path_order,matches dictionary RPO/LPO variant -> rpo,agree
recursive/lexicographic path ordering; size measure,rpo,path_order,leads with RPO/LPO; size measure secondary,rpo,path_order,leads with RPO/LPO path order,agree
resource-counting + structural size measure,direct_measure,direct_measure,counting/size measure,direct_measure,direct_measure,counting/size measure,agree
root-only RHS-is-normal-form,structural_descent,structural_descent,root-only normal-form argument per dictionary,structural_descent,structural_descent,root-only normal-form argument per dictionary,agree
root-only RHS-normal-form / subterm size descent,structural_descent,structural_descent,root-only normal-form plus subterm descent,structural_descent,structural_descent,matches root-only normal-form / subterm argument,agree
root-only case analysis (literal reading); monotone polynomial interpretation into ℕ (congruence-closed reading),structural_descent,structural_descent,leads with root-only case analysis; polynomial is alternate reading,structural_descent,structural_descent,"leads with root-only case analysis, per root-only rewriting case analysis precedent",agree
root-only reduction / LPO,lpo,path_order,root-only describes relation; method is LPO,lpo,path_order,matches root-only relation / LPO-RPO -> lpo,agree
root-only size descent + RHS-is-normal-form,direct_measure,direct_measure,size descent is a size measure,direct_measure,direct_measure,size descent is a size measure,agree
root-only structural descent; polynomial interpretation / MPO,structural_descent,structural_descent,leads with structural descent,structural_descent,structural_descent,"leads with structural descent, per structural descent / polynomial precedent",agree
root-only structural descent; polynomial/exponential interpretation,structural_descent,structural_descent,leads with structural descent,structural_descent,structural_descent,leads with structural descent,agree
root-only subterm/size descent + RHS-is-normal-form,structural_descent,structural_descent,subterm descent under root-only reading,structural_descent,structural_descent,"subterm descent leads, matches root-only normal-form / subterm argument",agree
root-reduction structural argument; polynomial interpretation,structural_descent,structural_descent,leads with structural argument,structural_descent,structural_descent,leads with root-only structural argument,agree
semantic termination argument via a well-founded measure,direct_measure,direct_measure,semantic well-founded measure -> direct_measure,direct_measure,direct_measure,matches semantic termination proof via well-founded measure,agree
semantic weight / polynomial interpretation,polynomial_interpretation,polynomial,weight given as polynomial interpretation,polynomial_interpretation,polynomial,"weight-as-polynomial interpretation, per weight (polynomial) interpretation",agree
semantic weight/measure argument,direct_measure,direct_measure,weight/measure without interpretation equations,direct_measure,direct_measure,weight/measure -> direct measure,agree
simple measure on size of third argument,direct_measure,direct_measure,size measure on third argument,direct_measure,direct_measure,size measure on third argument,agree
simple measure on third argument,direct_measure,direct_measure,third-argument measure,direct_measure,direct_measure,third-argument measure,agree
simple size measure / case analysis on eight rules,direct_measure,direct_measure,leads with size measure,direct_measure,direct_measure,size measure leads,agree
simple termination measure,direct_measure,direct_measure,plain termination measure,direct_measure,direct_measure,plain termination measure,agree
simplification ordering (RPO / polynomial interpretation),path_order_generic,path_order,generic simplification ordering with alternatives,path_order_generic,path_order,"simplification ordering head, per simplification ordering (LPO/RPO) precedent",agree
simplification ordering (recursive path ordering or polynomial interpretation),path_order_generic,path_order,generic simplification ordering with alternatives,path_order_generic,path_order,simplification ordering head label,agree
simplification ordering / lexicographic path ordering,path_order_generic,path_order,matches reduction/simplification ordering pattern -> generic,path_order_generic,path_order,matches reduction ordering / lexicographic path ordering -> generic,agree
size descent (constructor count) with terminal rules,direct_measure,direct_measure,constructor-count size measure,direct_measure,direct_measure,constructor-count size measure,agree
size/measure + RPO + polynomial interpretation,direct_measure,direct_measure,leads with size/measure,direct_measure,direct_measure,leads with size/measure,agree
size/numeric interpretation,polynomial_interpretation,polynomial,numeric interpretation into N,polynomial_interpretation,polynomial,numeric interpretation into N,agree
standard structural induction on third argument of F,structural_induction,structural_induction,plain structural induction,structural_induction,structural_induction,plain structural induction,agree
structural decrease of third argument,structural_descent,structural_descent,structural decrease per dictionary,structural_descent,structural_descent,matches structural decrease on third argument,agree
structural decreasing measure / lexicographic path argument,direct_measure,direct_measure,leads with decreasing measure,direct_measure,direct_measure,"leads with decreasing measure, per syntactic measure/structural decrease",agree
structural descent (root-only well-founded induction on finite depth),structural_descent,structural_descent,leads with structural descent,structural_descent,structural_descent,leads with structural descent,agree
structural descent (root-step / proper-subterm),structural_descent,structural_descent,proper-subterm structural descent,structural_descent,structural_descent,proper-subterm descent,agree
structural descent (root-step) + polynomial interpretation,structural_descent,structural_descent,leads with structural descent,structural_descent,structural_descent,leads with structural descent,agree
structural descent (root-step) / natural-number measure,structural_descent,structural_descent,leads with structural descent,structural_descent,structural_descent,leads with structural descent,agree
structural descent / measure argument,structural_descent,structural_descent,matches structural/measure argument -> structural_descent,structural_descent,structural_descent,matches structural/measure argument,agree
structural descent / natural-number measure (third argument depth),structural_descent,structural_descent,leads with structural descent,structural_descent,structural_descent,leads with structural descent,agree
structural descent / size argument,structural_descent,structural_descent,leads with structural descent,structural_descent,structural_descent,leads with structural descent,agree
structural descent argument on the third argument,structural_descent,structural_descent,structural descent on third argument,structural_descent,structural_descent,third-argument structural descent,agree
structural descent on S-constructor,structural_descent,structural_descent,descent on constructor structure,structural_descent,structural_descent,constructor structural descent,agree
structural descent on third argument (subterm relation),structural_descent,structural_descent,subterm-relation structural descent,structural_descent,structural_descent,subterm-relation structural descent,agree
structural induction (root-step normal-or-smaller),structural_induction,structural_induction,plain structural induction,structural_induction,structural_induction,structural induction under root-step,agree
structural induction / accessibility (root-step descent),structural_induction,structural_induction,leads with structural induction,structural_induction,structural_induction,"leads with structural induction, per structural induction (Acc)",agree
structural induction / measure on third argument,structural_induction,structural_induction,leads with structural induction,structural_induction,structural_induction,leads with structural induction,agree
structural induction / polynomial interpretation,structural_induction,structural_induction,leads with structural induction,structural_induction,structural_induction,leads with structural induction,agree
structural induction / subterm descent on third argument,structural_induction,structural_induction,leads with structural induction,structural_induction,structural_induction,leads with structural induction,agree
structural induction / well-founded ordering (S-depth of third argument),structural_induction,structural_induction,leads with structural induction; ordering is secondary,structural_induction,structural_induction,leads with structural induction; measure is secondary,agree
structural induction on term size,structural_induction,structural_induction,induction on term size is structural_induction per dictionary,structural_induction,structural_induction,plain induction on term size,agree
structural induction on the third argument,structural_induction,structural_induction,exact dictionary precedent,structural_induction,structural_induction,exact dictionary precedent,agree
structural induction on third argument,structural_induction,structural_induction,variant of dictionary structural induction on the third argument,structural_induction,structural_induction,plain structural induction,agree
structural induction on third argument; Lexicographic Path Ordering (LPO),structural_induction,structural_induction,compound; primary committed method is structural induction,structural_induction,structural_induction,primary first-named method is structural induction,agree
structural induction/recursion on third argument,structural_induction,structural_induction,leads with induction over recursion,structural_induction,structural_induction,leads with induction,agree
structural induction; polynomial interpretation,structural_induction,structural_induction,compound; structural induction named first,structural_induction,structural_induction,primary first-named method is structural induction,agree
structural measure (S-constructor count on third argument),direct_measure,direct_measure,constructor-count measure is a counting measure,direct_measure,direct_measure,constructor-count measure,agree
"structural measure descent (root-only, multiset of constructors)",multiset_measure,direct_measure,measure is explicitly a multiset of constructors,multiset_measure,direct_measure,measure is a multiset of constructors,agree
structural ordering; polynomial interpretation,structural_descent,structural_descent,"structural ordering leads, like subterm ordering precedent",structural_descent,structural_descent,"leads with structural ordering, like subterm ordering precedent",agree
structural recursion / decrease argument,structural_descent,structural_descent,structural recursion renames to structural_descent,structural_descent,structural_descent,structural recursion renames to structural_descent,agree
structural recursion / decreasing argument,structural_descent,structural_descent,structural recursion renames to structural_descent,structural_descent,structural_descent,structural recursion renames to structural_descent,agree
structural recursion / subterm relation,structural_descent,structural_descent,structural recursion primary; subterm secondary,structural_descent,structural_descent,structural recursion primary,agree
structural recursion / termination measure (S-depth of third argument),structural_descent,structural_descent,leads with structural recursion; measure secondary,structural_descent,structural_descent,leads with structural recursion,agree
structural recursion / well-founded ordering (S-constructor measure),structural_descent,structural_descent,leads with structural recursion,structural_descent,structural_descent,leads with structural recursion,agree
structural recursion argument,structural_descent,structural_descent,structural recursion renames to structural_descent,structural_descent,structural_descent,structural recursion renames to structural_descent,agree
structural recursion on third argument,structural_descent,structural_descent,dictionary precedent structural recursion on the third argument,structural_descent,structural_descent,exact dictionary precedent,agree
structural recursion; Lexicographic Path Order (LPO); recursive path ordering,structural_descent,structural_descent,compound; structural recursion named first,structural_descent,structural_descent,primary first-named method is structural recursion,agree
structural recursion; Lexicographic Path Order; subterm ordering,structural_descent,structural_descent,compound; structural recursion named first,structural_descent,structural_descent,primary first-named method is structural recursion,agree
structural recursion; Lexicographic Path Ordering (LPO),structural_descent,structural_descent,compound; structural recursion named first,structural_descent,structural_descent,primary first-named method is structural recursion,agree
structural recursion; monotone polynomial interpretation; recursive path ordering,structural_descent,structural_descent,compound; structural recursion named first,structural_descent,structural_descent,primary first-named method is structural recursion,agree
structural recursion; polynomial interpretation; recursive path ordering,structural_descent,structural_descent,compound; structural recursion named first,structural_descent,structural_descent,primary first-named method is structural recursion,agree
structural recursion; well-founded ordering,structural_descent,structural_descent,structural recursion primary,structural_descent,structural_descent,leads with structural recursion,agree
structural size measure (constructor count),direct_measure,direct_measure,size/count measure per structural size measure precedent,direct_measure,direct_measure,size/count measure,agree
"structural size measure (root-only, no congruence closure)",direct_measure,direct_measure,size measure; qualifiers do not change method,direct_measure,direct_measure,size measure,agree
structural size measure / case analysis on 8 rules (no congruence closure),direct_measure,direct_measure,size measure primary; case analysis secondary,direct_measure,direct_measure,leads with size measure,agree
structural subterm / size descent (root-reduction),structural_descent,structural_descent,leads with structural subterm descent,structural_descent,structural_descent,subterm-based structural descent,agree
structural subterm descent (root-reduction),structural_descent,structural_descent,subterm descent without explicit measure,structural_descent,structural_descent,subterm descent without explicit measure,agree
structural well-founded induction (root-step descent),well_founded_induction,structural_induction,explicitly well-founded induction,well_founded_induction,structural_induction,explicitly well-founded induction,agree
structural-decrease / primitive-recursion intuition,structural_descent,structural_descent,primitive recursion counts as structural_descent,structural_descent,structural_descent,structural decrease and primitive recursion both map here,agree
structural-decrease argument,structural_descent,structural_descent,informal structural decrease precedent,structural_descent,structural_descent,informal structural decrease,agree
structural/recursive descent on third argument,structural_descent,structural_descent,recursive/structural descent without measure,structural_descent,structural_descent,structural/recursive descent,agree
structural/size descent (root-only rewriting),structural_descent,structural_descent,leads with structural descent; size secondary,structural_descent,structural_descent,leads with structural descent,agree
"structural/size descent (root-only, no congruence)",structural_descent,structural_descent,leads with structural descent; size secondary,structural_descent,structural_descent,leads with structural descent,agree
structural/size-decreasing argument,structural_descent,structural_descent,structural/measure hybrid maps to structural_descent per precedent,structural_descent,structural_descent,leads with structural decrease,agree
structural/subterm argument (well-founded ordering on naturals),structural_descent,structural_descent,structural/subterm argument primary,structural_descent,structural_descent,"structural/subterm argument, ordering secondary",agree
structural/subterm descent (root-only rewriting),structural_descent,structural_descent,subterm descent without mechanism upgrade,structural_descent,structural_descent,subterm-based structural descent,agree
structural/subterm induction (informal RPO),structural_induction,structural_induction,induction primary; informal RPO parenthetical,structural_induction,structural_induction,leads with induction; RPO parenthetical secondary,agree
subterm criterion; lexicographic path ordering,dependency_pairs,transformed_calls,subterm criterion counts as dependency_pairs and is named first,dependency_pairs,transformed_calls,subterm criterion counts as dependency_pairs,agree
subterm descent / measure argument,structural_descent,structural_descent,subterm descent primary,structural_descent,structural_descent,leads with subterm descent,agree
subterm relation / RPO,structural_descent,structural_descent,subterm relation primary like subterm ordering precedent,structural_descent,structural_descent,subterm ordering precedent maps to structural_descent,agree
subterm/size measure on third argument,direct_measure,direct_measure,size measure on an argument is a counting measure,direct_measure,direct_measure,size measure on argument,agree
syntactic measure (count of S in third argument),direct_measure,direct_measure,S-count measure renames to direct_measure,direct_measure,direct_measure,S-count measure,agree
syntactic measure + RPO,direct_measure,direct_measure,syntactic measure named first; RPO secondary,direct_measure,direct_measure,leads with syntactic measure,agree
syntactic measure / lexicographic order,direct_measure,direct_measure,syntactic measure primary per dictionary syntactic measure row,direct_measure,direct_measure,leads with syntactic measure,agree
termination measure (syntactic size / S-depth of third argument),direct_measure,direct_measure,size/depth termination measure,direct_measure,direct_measure,size/depth termination measure,agree
termination ordering; lexicographic/recursive path ordering,path_order_generic,path_order,termination ordering specified as LPO/RPO family,path_order_generic,path_order,termination ordering with LPO/RPO matches dictionary precedent,agree
termination proof by a well-founded measure,direct_measure,direct_measure,"generic well-founded measure, matches dictionary 'well-founded measure'",direct_measure,direct_measure,well-founded measure with no named components maps to direct_measure per dictionary,agree
top-level size descent; MPO/LPO path order,direct_measure,direct_measure,"leads with size descent, a size-count measure; path order is secondary",path_order_generic,path_order,top-level prefix is setting; MPO/LPO combination maps to path_order_generic like LPO / MPO,disagree
top-level structural descent; LPO / constructor-count measure,structural_descent,structural_descent,leads with structural descent; LPO/measure are secondary,lpo,path_order,top-level prefix is setting; LPO is the primary named method,disagree
top-level structural descent; Lexicographic Path Ordering (LPO),structural_descent,structural_descent,leads with structural descent; LPO secondary,lpo,path_order,top-level prefix is setting; explicit LPO,disagree
top-level structural descent; recursive path ordering (RPO),structural_descent,structural_descent,leads with structural descent; RPO secondary,rpo,path_order,top-level prefix is setting; explicit RPO,disagree
top-level-only reduction / finite chains,structural_descent,structural_descent,"root-only reduction observation without size mechanism, matches 'root-only reduction' rows",structural_descent,structural_descent,root-only reduction with finite-chain argument matches root-only reduction chain bound entries,agree
top-level-only reduction / structural measure,direct_measure,direct_measure,scope descriptor plus structural measure mechanism; 'structural measure' maps to direct_measure,direct_measure,direct_measure,structural measure under root-only setting maps like structural measure to direct_measure,agree
weight function / polynomial interpretation,polynomial_interpretation,polynomial,"weight function realized as polynomial interpretation, matches 'Polynomial interpretation / weight function'",polynomial_interpretation,polynomial,"weight function naming a polynomial interpretation, matches weight (polynomial) interpretation",agree
